USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Cm/Ap,Cm/Ap,CULTIVO DE MAIZ EN AREAS CON PROCESO DE EROSION,050152,BELISARIO QUEVEDO (GUANAILIN),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1959614
Bp,Bp,100% BOSQUE PLANTADO,050152,BELISARIO QUEVEDO (GUANAILIN),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,3621179
Cc/Cp,Cc/Cp,70% CULTIVO DE CICLO CORTO CON 30% CULTIVO DE PAPA,050152,BELISARIO QUEVEDO (GUANAILIN),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,2321346
Pc/Cm,Pc/Cm,70% PASTO CULTIVADO CON 30% CULTIVO DE MAIZ,050152,BELISARIO QUEVEDO (GUANAILIN),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,403156
Ce/Af,Ce/Af,CULTIVO DE CEREALES EN AREAS CON FUERTE PROCESO DE EROSION,050152,BELISARIO QUEVEDO (GUANAILIN),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,217426
Pr,Pr,100% PARAMO,050152,BELISARIO QUEVEDO (GUANAILIN),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,7225711
Cw-Pc,Cw-Pc,50% CULTIVO DE BROCOLI CON 50% PASTO CULTIVADO,050152,BELISARIO QUEVEDO (GUANAILIN),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,12199
Pc/Bp,Pc/Bp,70% PASTO CULTIVADO CON 30% BOSQUE PLANTADO,050152,BELISARIO QUEVEDO (GUANAILIN),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,2378134
Cc-Pc,Cc-Pc,50% CULTIVO DE CICLO CORTO CON 50% PASTO CULTIVADO,050152,BELISARIO QUEVEDO (GUANAILIN),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,5983639
U,U,100% AREA URBANA,050152,BELISARIO QUEVEDO (GUANAILIN),0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,296817
