USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Bp-Cm,Bp-Cm,50% BOSQUE PLANTADO CON 50% CULTIVO DE MAIZ,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,699745
Bp,Bp,100% BOSQUE PLANTADO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,391966
Cc-Pc,Cc-Pc,50% CULTIVO DE CICLO CORTO CON 50% PASTO CULTIVADO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,16329021
Pc/Cm,Pc/Cm,70% PASTO CULTIVADO CON 30% CULTIVO DE MAIZ,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,12
Cd-Pc,Cd-Pc,50% CULTIVO DE CEBADA CON 50% PASTO CULTIVADO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,1638151
Pn/Pc,Pn/Pc,70% PASTO NATURAL CON 30% PASTO CULTIVADO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,12995638
Bp-Pn,Bp-Pn,50% BOSQUE PLANTADO CON 50% PASTO NATURAL,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,503494
Bi/Pc,Bi/Pc,70% BOSQUE INTERVENIDO CON 30% PASTO CULTIVADO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,681226
Va/Oh,Va/Oh,70% VEGETACION ARBUSTIVA CON 30% HUMEDAL,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,516214
Pn/Ce,Pn/Ce,70% PASTO NATURAL CON 30% CULTIVO DE CEREALES,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,2613906
Pc/Bp,Pc/Bp,70% PASTO CULTIVADO CON 30% BOSQUE PLANTADO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,13653529
Pc/Cd,Pc/Cd,70% PASTO CULTIVADO CON 30% CULTIVO DE CEBADA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,1516834
Bp-Cc,Bp-Cc,50% BOSQUE PLANTADO CON 50% CULTIVO DE CICLO CORTO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,2577103
Cm-Pn,Cm-Pn,50% CULTIVO DE MAIZ CON 50% PASTO NATURAL,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,2130471
Cd/Cm,Cd/Cm,70% CULTIVO DE CEBADA CON 30% CULTIVO DE MAIZ,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,639797
Bi-Pn,Bi-Pn,50% BOSQUE INTERVENIDO CON 50% PASTO NATURAL,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,14193873
C,,,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,3729647
Ce/Pn,Ce/Pn,70% CULTIVO DE CEREALES CON 30% PASTO NATURAL,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,5095901
Bp/Cc,Bp/Cc,70% BOSQUE PLANTADO CON 30% CULTIVO DE CICLO CORTO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,1836688
Pc/Pn,Pc/Pn,70% PASTO CULTIVADO CON 30% PASTO NATURAL,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,53307
Cc/Va,Cc/Va,70% CULTIVO DE CICLO CORTO CON 30% VEGETACION ARBUSTIVA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,9531723
Pc,Pc,100% PASTO CULTIVADO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,36125664
Pc/Ce,Pc/Ce,70% PASTO CULTIVADO CON 30% CULTIVO DE CEREALES,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,1765612
Bi/Va,Bi/Va,70% BOSQUE INTERVENIDO CON 30% VEGETACION ARBUSTIVA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,9412468
Cd-Cm,Cd-Cm,50% CULTIVO DE CEBADA CON 50% CULTIVO DE MAIZ,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,653683
Pn,Pn,100% PASTO NATURAL,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,5987960
Cd/Cc,Cd/Cc,70% CULTIVO DE CEBADA CON 30% CULTIVO DE CICLO CORTO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,186
Bp/Pc,Bp/Pc,70% BOSQUE PLANTADO CON 30% PASTO CULTIVADO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,2793195
Va/Pn,Va/Pn,70% VEGETACION ARBUSTIVA CON 30% PASTO NATURAL,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,25735809
U,U,100% AREA URBANA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,497551
Cc/Cm,Cc/Cm,70% CULTIVO DE CICLO CORTO CON 30% CULTIVO DE MAIZ,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,5944223
