USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Va/Ce,Va/Ce,70% VEGETACION ARBUSTIVA CON 30% CULTIVO DE CEREALES,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,658064
Bp,Bp,100% BOSQUE PLANTADO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,872320
Cc/Cp,Cc/Cp,70% CULTIVO DE CICLO CORTO CON 30% CULTIVO DE PAPA,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,12520282
Pr,Pr,100% PARAMO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,101423329
Cc-Pc,Cc-Pc,50% CULTIVO DE CICLO CORTO CON 50% PASTO CULTIVADO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,2128577
Ce/Ae,Ce/Ae,AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE  CULTIVOS DE CEREALES,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,80396
Pc-Va,Pc-Va,50% PASTO CULTIVADO CON 50% VEGETACION ARBUSTIVA,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,156135
Cc/Ae,Cc/Ae,AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE  CULTIVOS DE CICLO CORTO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,3339488
U,U,100% AREA URBANA,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,357032
Cm/Af,Cm/Af,CULTIVO DE MAIZ EN AREAS CON FUERTE PROCESO DE EROSION,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,3653357
Pc,Pc,100% PASTO CULTIVADO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,4477556
Pc/Ce,Pc/Ce,70% PASTO CULTIVADO CON 30% CULTIVO DE CEREALES,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1742917
Cd-Cm,Cd-Cm,50% CULTIVO DE CEBADA CON 50% CULTIVO DE MAIZ,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1015
Bp/Cm,Bp/Cm,70% BOSQUE PLANTADO CON 30% CULTIVO DE MAIZ,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1084274
Pn,Pn,100% PASTO NATURAL,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,104068
Er-On,Er-On,50% AFLORAMIENTO ROCOSO CON 50% NIEVE O HIELO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,5621
Cd/Cc,Cd/Cc,70% CULTIVO DE CEBADA CON 30% CULTIVO DE CICLO CORTO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,927977
Cm-Pc,Cm-Pc,50% CULTIVO DE MAIZ CON 50% PASTO CULTIVADO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,3624854
Wn,Wn,100% CUERPO DE AGUA NATURAL,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,5359
Ce-Cm,Ce-Cm,50% CULTIVO DE CEREALES CON 50% CULTIVO DE MAIZ,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,3784982
Cc-Cp,Cc-Cp,50% CULTIVO DE CICLO CORTO CON 50% CULTIVO DE PAPA,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,3959955
Cm/Cp,Cm/Cp,70% CULTIVO DE MAIZ CON 30% CULTIVO DE PAPA,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,262705
Cm/Cc,Cm/Cc,70% CULTIVO DE MAIZ CON 30% CULTIVO DE CICLO CORTO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1204136
Cm/Bp,Cm/Bp,70% CULTIVO DE MAIZ CON 30% BOSQUE PLANTADO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1863341
Cm,Cm,100% CULTIVO DE MAIZ,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,2889006
Cc/Va,Cc/Va,70% CULTIVO DE CICLO CORTO CON 30% VEGETACION ARBUSTIVA,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,2084896
Cc-Cd,Cc-Cd,50% CULTIVO DE CICLO CORTO CON 50% CULTIVO DE CEBADA,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,277787
Va/Cp,Va/Cp,70% VEGETACION ARBUSTIVA CON 30% CULTIVO DE PAPA,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,946578
Ce,Ce,100% CULTIVO DE CEREALES,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1102530
Cc,Cc,100% CULTIVO DE CICLO CORTO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,170613
Er,Er,100% AFLORAMIENTO ROCOSO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,199879
Pn/Ae,Pn/Ae,AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE PASTO NATURAL,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1073758
