USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Cm/Ap,Cm/Ap,CULTIVO DE MAIZ EN AREAS CON PROCESO DE EROSION,100453,GONZALEZ SUAREZ,,,,OTAVALO,,IMBABURA,,,,,,,,,100453,GONZALEZ SUAREZ,0,2012,1004,OTAVALO,10,IMBABURA,2438756
Bp,Bp,100% BOSQUE PLANTADO,100453,GONZALEZ SUAREZ,,,,OTAVALO,,IMBABURA,,,,,,,,,100453,GONZALEZ SUAREZ,0,2012,1004,OTAVALO,10,IMBABURA,1403298
Pc/Cm,Pc/Cm,70% PASTO CULTIVADO CON 30% CULTIVO DE MAIZ,100453,GONZALEZ SUAREZ,,,,OTAVALO,,IMBABURA,,,,,,,,,100453,GONZALEZ SUAREZ,0,2012,1004,OTAVALO,10,IMBABURA,3950909
Pr,Pr,100% PARAMO,100453,GONZALEZ SUAREZ,,,,OTAVALO,,IMBABURA,,,,,,,,,100453,GONZALEZ SUAREZ,0,2012,1004,OTAVALO,10,IMBABURA,7318772
Cc-Pr,Cc-Pr,50% CULTIVO DE CICLO CORTO CON 50% PARAMO,100453,GONZALEZ SUAREZ,,,,OTAVALO,,IMBABURA,,,,,,,,,100453,GONZALEZ SUAREZ,0,2012,1004,OTAVALO,10,IMBABURA,11646
U,U,100% AREA URBANA,100453,GONZALEZ SUAREZ,,,,OTAVALO,,IMBABURA,,,,,,,,,100453,GONZALEZ SUAREZ,0,2012,1004,OTAVALO,10,IMBABURA,763443
Cm/Af,Cm/Af,CULTIVO DE MAIZ EN AREAS CON FUERTE PROCESO DE EROSION,100453,GONZALEZ SUAREZ,,,,OTAVALO,,IMBABURA,,,,,,,,,100453,GONZALEZ SUAREZ,0,2012,1004,OTAVALO,10,IMBABURA,662342
Pc,Pc,100% PASTO CULTIVADO,100453,GONZALEZ SUAREZ,,,,OTAVALO,,IMBABURA,,,,,,,,,100453,GONZALEZ SUAREZ,0,2012,1004,OTAVALO,10,IMBABURA,2518778
Cm-Pc,Cm-Pc,50% CULTIVO DE MAIZ CON 50% PASTO CULTIVADO,100453,GONZALEZ SUAREZ,,,,OTAVALO,,IMBABURA,,,,,,,,,100453,GONZALEZ SUAREZ,0,2012,1004,OTAVALO,10,IMBABURA,551983
Cd/Pc,Cd/Pc,70% CULTIVO DE CEBADA CON 30% PASTO CULTIVADO,100453,GONZALEZ SUAREZ,,,,OTAVALO,,IMBABURA,,,,,,,,,100453,GONZALEZ SUAREZ,0,2012,1004,OTAVALO,10,IMBABURA,245220
