USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Cm/Ap,Cm/Ap,CULTIVO DE MAIZ EN AREAS CON PROCESO DE EROSION,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,4200398
Pr,Pr,100% PARAMO,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,44899327
Cd/Ae,Cd/Ae,AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE  CULTIVOS DE CEBADA,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,7830290
Cm-Pn,Cm-Pn,50% CULTIVO DE MAIZ CON 50% PASTO NATURAL,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,4037831
Cc/Ae,Cc/Ae,AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE  CULTIVOS DE CICLO CORTO,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,8392417
Pc,Pc,100% PASTO CULTIVADO,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,671846
Pr/Af,Pr/Af,VEGETACION DE PARAMO EN AREAS CON FUERTE PROCESO DE EROSION,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,1666791
Cc/Af,Cc/Af,CULTIVOS DE CICLO CORTO  EN AREAS CON FUERTE PROCESO DE EROSION,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,5925192
Va/Ap,Va/Ap,VEGETACION ARBUSTIVA EN AREAS CON PROCESO DE EROSION,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,1014789
Va/Pn,Va/Pn,70% VEGETACION ARBUSTIVA CON 30% PASTO NATURAL,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,1822224
Pn/Er,Pn/Er,70% PASTO NATURAL CON 30% AFLORAMIENTO ROCOSO,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,826682
Va/Er,Va/Er,70% VEGETACION ARBUSTIVA CON 30% AFLORAMIENTO ROCOSO,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,3054511
Cm,Cm,100% CULTIVO DE MAIZ,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,196975
Cc,Cc,100% CULTIVO DE CICLO CORTO,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,2204160
Wn,Wn,100% CUERPO DE AGUA NATURAL,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,783780
Pn/Ae,Pn/Ae,AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE PASTO NATURAL,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,1891186
Ae,Ae,AREA EROSIONADA,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,19032103
Pr/Cc,Pr/Cc,70% PARAMO CON 30% CULTIVO DE CICLO CORTO,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,11036067
Cm/Va,Cm/Va,70% CULTIVO DE MAIZ CON 30% VEGETACION ARBUSTIVA,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,2300
Pn-Va,Pn-Va,50% PASTO NATURAL CON 50% VEGETACION ARBUSTIVA,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,2612115
Va,Va,100% VEGETACION ARBUSTIVA,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,426380
Cc/Ap,Cc/Ap,CULTIVOS DE CICLO CORTO  EN AREAS CON PROCESO DE EROSION,050453,GUANGAJE,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,7882918
