USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Cc/Cp,Cc/Cp,70% CULTIVO DE CICLO CORTO CON 30% CULTIVO DE PAPA,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1895778
Ce/Af,Ce/Af,CULTIVO DE CEREALES EN AREAS CON FUERTE PROCESO DE EROSION,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1358481
Pr,Pr,100% PARAMO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,43099674
Cw-Pc,Cw-Pc,50% CULTIVO DE BROCOLI CON 50% PASTO CULTIVADO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,4138779
Pr/Cc,Pr/Cc,70% PARAMO CON 30% CULTIVO DE CICLO CORTO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,81513
Cm/Ae,Cm/Ae,AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE  CULTIVOS DE MAIZ,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1813384
Cc-Pc,Cc-Pc,50% CULTIVO DE CICLO CORTO CON 50% PASTO CULTIVADO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,3880340
Pc/Ci,Pc/Ci,70% PASTO CULTIVADO CON 30% CULTIVO BAJO INVERNADERO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,310488
U,U,100% AREA URBANA,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,3026575
Cm/Af,Cm/Af,CULTIVO DE MAIZ EN AREAS CON FUERTE PROCESO DE EROSION,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1151531
Pc,Pc,100% PASTO CULTIVADO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,6902734
Pn/Af,Pn/Af,PASTO NATURAL EN AREAS CON FUERTE PROCESO DE EROSION,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,167518
Pc/Ce,Pc/Ce,70% PASTO CULTIVADO CON 30% CULTIVO DE CEREALES,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1315884
Cd-Cm,Cd-Cm,50% CULTIVO DE CEBADA CON 50% CULTIVO DE MAIZ,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,544959
Cm/Cr,Cm/Cr,70% CULTIVO DE MAIZ CON 30% CULTIVO DE FRUTALES,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,2262234
Cc/Af,Cc/Af,CULTIVOS DE CICLO CORTO  EN AREAS CON FUERTE PROCESO DE EROSION,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,4602730
Ce-Va,Ce-Va,50% CULTIVO DE CEREALES CON 50% VEGETACION ARBUSTIVA,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,451838
Cp-Pc,Cp-Pc,50% CULTIVO DE PAPA CON 50% PASTO CULTIVADO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,695904
Wn,Wn,100% CUERPO DE AGUA NATURAL,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,847346
Pc/Pr,Pc/Pr,70% PASTO CULTIVADO CON 30% PARAMO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,541670
Pn/Er,Pn/Er,70% PASTO NATURAL CON 30% AFLORAMIENTO ROCOSO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1347544
Ce-Cm,Ce-Cm,50% CULTIVO DE CEREALES CON 50% CULTIVO DE MAIZ,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1177861
Cm-Pc,Cm-Pc,50% CULTIVO DE MAIZ CON 50% PASTO CULTIVADO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,380859
Ce/Cp,Ce/Cp,70% CULTIVO DE CEREALES CON 30% CULTIVO DE PAPA,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,685
Cm/Cp,Cm/Cp,70% CULTIVO DE MAIZ CON 30% CULTIVO DE PAPA,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1823095
Cp,Cp,100% CULTIVO DE PAPA,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,745590
Ci,Ci,100% CULTIVO BAJO INVERNADERO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,375449
Cm/Cc,Cm/Cc,70% CULTIVO DE MAIZ CON 30% CULTIVO DE CICLO CORTO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,7199633
Pr-Va,Pr-Va,50% PARAMO CON 50% VEGETACION ARBUSTIVA,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,2021841
