USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Pn/Cc,Pn/Cc,70% PASTO NATURAL CON 30% CULTIVO DE CICLO CORTO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,694828
Cx-Pc,Cx-Pc,50% ARBORICULTURA TROPICAL CON 50% PASTO CULTIVADO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,11732541
Bi/Pc,Bi/Pc,70% BOSQUE INTERVENIDO CON 30% PASTO CULTIVADO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,7304612
Pc/Bp,Pc/Bp,70% PASTO CULTIVADO CON 30% BOSQUE PLANTADO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,1738756
Cc-Pc,Cc-Pc,50% CULTIVO DE CICLO CORTO CON 50% PASTO CULTIVADO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,14709776
C/Cc,,,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,4417589
Pc/Pn,Pc/Pn,70% PASTO CULTIVADO CON 30% PASTO NATURAL,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,4286807
Cc/Va,Cc/Va,70% CULTIVO DE CICLO CORTO CON 30% VEGETACION ARBUSTIVA,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,893513
Pc,Pc,100% PASTO CULTIVADO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,9586413
Cc-Va,Cc-Va,50% CULTIVO DE CICLO CORTO CON 50% VEGETACION ARBUSTIVA,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,526105
Pn,Pn,100% PASTO NATURAL,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,935073
Bp/Pc,Bp/Pc,70% BOSQUE PLANTADO CON 30% PASTO CULTIVADO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,577509
Va/Pc,Va/Pc,70% VEGETACION ARBUSTIVA CON 30% PASTO CULTIVADO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,68451350
