USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Va/Ce,Va/Ce,70% VEGETACION ARBUSTIVA CON 30% CULTIVO DE CEREALES,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1103601
Bi/Ce,Bi/Ce,70% BOSQUE INTERVENIDO CON 30% CULTIVO DE CEREALES,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1294013
Cm-Pn,Cm-Pn,50% CULTIVO DE MAIZ CON 50% PASTO NATURAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,749616
Cc/Cp,Cc/Cp,70% CULTIVO DE CICLO CORTO CON 30% CULTIVO DE PAPA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,3392670
Pc/Cm,Pc/Cm,70% PASTO CULTIVADO CON 30% CULTIVO DE MAIZ,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1828465
Cx/Cm,Cx/Cm,70% ARBORICULTURA TROPICAL CON 30% CULTIVO DE MAIZ,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,829187
Bi/Pc,Bi/Pc,70% BOSQUE INTERVENIDO CON 30% PASTO CULTIVADO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,961899
Cc-Pr,Cc-Pr,50% CULTIVO DE CICLO CORTO CON 50% PARAMO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,459889
Cm-Cx,Cm-Cx,50% CULTIVO DE MAIZ CON 50% ARBORICULTURA TROPICAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,23215
Pn/Cr,Pn/Cr,70% PASTO NATURAL CON 30% CULTIVO DE FRUTALES,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,22737
Ce/Ap,Ce/Ap,CULTIVO DE CEREALES EN AREAS CON PROCESO DE EROSION,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,790261
Cc-Pc,Cc-Pc,50% CULTIVO DE CICLO CORTO CON 50% PASTO CULTIVADO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,3906096
Pr/Ce,Pr/Ce,70% PARAMO CON 30% CULTIVO DE CEREALES,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,153
Bp-Va,Bp-Va,50% BOSQUE PLANTADO CON 50% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,37200
Bi/Cx,Bi/Cx,70% BOSQUE INTERVENIDO CON 30% ARBORICULTURA TROPICAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,3913542
Bi/C,,,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,14939540
Bp/Cc,Bp/Cc,70% BOSQUE PLANTADO CON 30% CULTIVO DE CICLO CORTO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,214854
