USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Cm/Ap,Cm/Ap,CULTIVO DE MAIZ EN AREAS CON PROCESO DE EROSION,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,2198929
Bp/Cp,Bp/Cp,70% BOSQUE PLANTADO CON 30% CULTIVO DE PAPA,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,82860
Bp,Bp,100% BOSQUE PLANTADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,11760107
Cm/Ci,Cm/Ci,70% CULTIVO DE MAIZ CON 30% CULTIVO BAJO INVERNADERO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1670009
Bp-Cm,Bp-Cm,50% BOSQUE PLANTADO CON 50% CULTIVO DE MAIZ,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,629419
Cd-Pc,Cd-Pc,50% CULTIVO DE CEBADA CON 50% PASTO CULTIVADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1310129
Pr,Pr,100% PARAMO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,19541719
Pr/Pc,Pr/Pc,70% PARAMO CON 30% PASTO CULTIVADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,764902
Cm/Pc,Cm/Pc,70% CULTIVO DE MAIZ CON 30% PASTO CULTIVADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,8357043
Cc-Pr,Cc-Pr,50% CULTIVO DE CICLO CORTO CON 50% PARAMO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,356179
Pc/Cd,Pc/Cd,70% PASTO CULTIVADO CON 30% CULTIVO DE CEBADA,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1795793
Cp-Pc,Cp-Pc,50% CULTIVO DE PAPA CON 50% PASTO CULTIVADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,756937
Pc/Pn,Pc/Pn,70% PASTO CULTIVADO CON 30% PASTO NATURAL,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,980944
Cm/Af,Cm/Af,CULTIVO DE MAIZ EN AREAS CON FUERTE PROCESO DE EROSION,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1469828
Pc,Pc,100% PASTO CULTIVADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,4933674
Pn/Af,Pn/Af,PASTO NATURAL EN AREAS CON FUERTE PROCESO DE EROSION,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1613263
Bp-Pn,Bp-Pn,50% BOSQUE PLANTADO CON 50% PASTO NATURAL,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1414584
Cd-Cm,Cd-Cm,50% CULTIVO DE CEBADA CON 50% CULTIVO DE MAIZ,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1096077
Bp/Cm,Bp/Cm,70% BOSQUE PLANTADO CON 30% CULTIVO DE MAIZ,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,2174925
Pn,Pn,100% PASTO NATURAL,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,368628
Pc/Af,Pc/Af,PASTO CULTIVADO EN AREAS CON FUERTE PROCESO DE EROSION,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,837882
Cd/Cp,Cd/Cp,70% CULTIVO DE CEBADA CON 30% CULTIVO DE PAPA,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,650444
Bp/Pc,Bp/Pc,70% BOSQUE PLANTADO CON 30% PASTO CULTIVADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,4387053
Cm-Pc,Cm-Pc,50% CULTIVO DE MAIZ CON 50% PASTO CULTIVADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1348697
Er/Pn,Er/Pn,70% AFLORAMIENTO ROCOSO CON 30% PASTO NATURAL,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,221839
Pn/Bp,Pn/Bp,70% PASTO NATURAL CON 30% BOSQUE PLANTADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,725319
Cc-Cp,Cc-Cp,50% CULTIVO DE CICLO CORTO CON 50% CULTIVO DE PAPA,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,2983255
Pr/Bp,Pr/Bp,70% PARAMO CON 30% BOSQUE PLANTADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1522226
Cm/Cp,Cm/Cp,70% CULTIVO DE MAIZ CON 30% CULTIVO DE PAPA,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,2831928
Cp,Cp,100% CULTIVO DE PAPA,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,669666
Ci,Ci,100% CULTIVO BAJO INVERNADERO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,366668
Cm/Cc,Cm/Cc,70% CULTIVO DE MAIZ CON 30% CULTIVO DE CICLO CORTO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,7685325
Pr-Va,Pr-Va,50% PARAMO CON 50% VEGETACION ARBUSTIVA,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,3220876
Cm/Bp,Cm/Bp,70% CULTIVO DE MAIZ CON 30% BOSQUE PLANTADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,7153363
Bi/Bp,Bi/Bp,70% BOSQUE INTERVENIDO CON 30% BOSQUE PLANTADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1159843
Pc/Cw,Pc/Cw,70% PASTO CULTIVADO CON 30% CULTIVO DE BROCOLI,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,2336091
Bp-Pr,Bp-Pr,50% BOSQUE PLANTADO CON 50% PARAMO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,9027941
Cm,Cm,100% CULTIVO DE MAIZ,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1493117
Pn/Ap,Pn/Ap,PASTO NATURAL EN AREAS CON PROCESO DE EROSION,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,410942
Er,Er,100% AFLORAMIENTO ROCOSO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1500119
Pr/Cd,Pr/Cd,70% PARAMO CON 30% CULTIVO DE CEBADA,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,714594
Pc/Cp,Pc/Cp,70% PASTO CULTIVADO CON 30% CULTIVO DE PAPA,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,2628
On,On,100% NIEVE O HIELO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1137980
Bp-Pc,Bp-Pc,50% BOSQUE PLANTADO CON 50% PASTO CULTIVADO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,269292
Pr/Cc,Pr/Cc,70% PARAMO CON 30% CULTIVO DE CICLO CORTO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,436732
Cm/Va,Cm/Va,70% CULTIVO DE MAIZ CON 30% VEGETACION ARBUSTIVA,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,2048087
Cd,Cd,100% CULTIVO DE CEBADA,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,4473082
Va/Pr,Va/Pr,70% VEGETACION ARBUSTIVA CON 30% PARAMO,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,2510777
Ce,Ce,100% CULTIVO DE CEREALES,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,3035340
Cc-Cm,Cc-Cm,50% CULTIVO DE CICLO CORTO CON 50% CULTIVO DE MAIZ,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,1257615
Va,Va,100% VEGETACION ARBUSTIVA,050159,SAN JUAN DE PASTOCALLE,0,2012,0501,LATACUNGA,05,COTOPAXI,,,,,,,,,,,,,,,,,3274427
