USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Pc/Cp,Pc/Cp,70% PASTO CULTIVADO CON 30% CULTIVO DE PAPA,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,759866
Pr,Pr,100% PARAMO,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,483715
Cc-Ci,Cc-Ci,50% CULTIVO DE CICLO CORTO CON 50% CULTIVO BAJO INVERNADERO,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,17753
Cc/Cp,Cc/Cp,70% CULTIVO DE CICLO CORTO CON 30% CULTIVO DE PAPA,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,331577
Bp-Pc,Bp-Pc,50% BOSQUE PLANTADO CON 50% PASTO CULTIVADO,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,1707006
Bp/Va,Bp/Va,70% BOSQUE PLANTADO CON 30% VEGETACION ARBUSTIVA,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,5468602
Va/Cc,Va/Cc,70% VEGETACION ARBUSTIVA CON 30% CULTIVO DE CICLO CORTO,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,595938
Ce-Pc,Ce-Pc,50% CULTIVO DE CEREALES CON 50% PASTO CULTIVADO,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,60160
Cc/Ap,Cc/Ap,CULTIVOS DE CICLO CORTO  EN AREAS CON PROCESO DE EROSION,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,110823
Pc,Pc,100% PASTO CULTIVADO,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,7313521
Ce/Pn,Ce/Pn,70% CULTIVO DE CEREALES CON 30% PASTO NATURAL,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,2458669
Cc,Cc,100% CULTIVO DE CICLO CORTO,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,174158
Va/Pc,Va/Pc,70% VEGETACION ARBUSTIVA CON 30% PASTO CULTIVADO,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,26668
U,U,100% AREA URBANA,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,590223
Bp,Bp,100% BOSQUE PLANTADO,170357,UYUMBICHO,,,,MEJIA,,PICHINCHA,170357,UYUMBICHO,0,2012,1703,MEJIA,17,PICHINCHA,,,,,,,,,846049
