USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Cm/Ap,Cm/Ap,CULTIVO DE MAIZ EN AREAS CON PROCESO DE EROSION,050458,ZUMBAHUA,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,7355381
Cd-Pc,Cd-Pc,50% CULTIVO DE CEBADA CON 50% PASTO CULTIVADO,050458,ZUMBAHUA,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,2457214
Pr,Pr,100% PARAMO,050458,ZUMBAHUA,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,89781923
Pr/Cc,Pr/Cc,70% PARAMO CON 30% CULTIVO DE CICLO CORTO,050458,ZUMBAHUA,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,556364
Cc-Pr,Cc-Pr,50% CULTIVO DE CICLO CORTO CON 50% PARAMO,050458,ZUMBAHUA,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,505092
Cc-Pc,Cc-Pc,50% CULTIVO DE CICLO CORTO CON 50% PASTO CULTIVADO,050458,ZUMBAHUA,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,1205439
Cd/Ae,Cd/Ae,AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE  CULTIVOS DE CEBADA,050458,ZUMBAHUA,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,853852
Cm-Pn,Cm-Pn,50% CULTIVO DE MAIZ CON 50% PASTO NATURAL,050458,ZUMBAHUA,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,1888904
Cc/Ae,Cc/Ae,AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE  CULTIVOS DE CICLO CORTO,050458,ZUMBAHUA,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,9344417
Pc,Pc,100% PASTO CULTIVADO,050458,ZUMBAHUA,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,1596906
Er-On,Er-On,50% AFLORAMIENTO ROCOSO CON 50% NIEVE O HIELO,050458,ZUMBAHUA,0,2012,0504,PUJILI,05,COTOPAXI,,,,,,,,,,,,,,,,,782144
