"","Location","cobertura","tipo","temporalid","pisoclimat","cubierta","tipo2","tipo3","asociacion","rotacion1","rotacion2","sistemadep","tamanoparc","riego","uso","alteracion","origenagua","observacio","control","zhc","zona","shape_leng","Shape_Area","superficie","area_recal","area","Version..1.0","AREA"
"1","BQ1","Area Poblada","Area en proceso de urbanizacion","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","SIn uso","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",1204.51409536,51444.0454723,5.1444045472,1009062,52088,"RestoreWorkspace: Default",NA
"2","BQ1","Area Poblada","Area en proceso de urbanizacion","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","SIn uso","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",1204.51409536,51444.0454723,5.1444045472,1009062,52088,"SaveWorkspace: Default",NA
"3","BQ1","Area Poblada","Area en proceso de urbanizacion","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","SIn uso","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",1204.51409536,51444.0454723,5.1444045472,1009062,52088,"AlwaysSaveHistory: Default",NA
"4","BQ1","Area Poblada","Area en proceso de urbanizacion","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","SIn uso","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",1204.51409536,51444.0454723,5.1444045472,1009062,52088,"EnableCodeIndexing: Yes",NA
"5","BQ1","Area Poblada","Area en proceso de urbanizacion","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","SIn uso","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",1204.51409536,51444.0454723,5.1444045472,1009062,52088,"UseSpacesForTab: Yes",NA
"6","BQ1","Area Poblada","Area en proceso de urbanizacion","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","SIn uso","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",1204.51409536,51444.0454723,5.1444045472,1009062,52088,"NumSpacesForTab: 2",NA
"7","BQ1","Area Poblada","Area en proceso de urbanizacion","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","SIn uso","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",1204.51409536,51444.0454723,5.1444045472,1009062,52088,"Encoding: UTF-8",NA
"8","BQ1","Area Poblada","Area en proceso de urbanizacion","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","SIn uso","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",1204.51409536,51444.0454723,5.1444045472,1009062,52088,"RnwWeave: Sweave",NA
"9","BQ1","Area Poblada","Area en proceso de urbanizacion","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","SIn uso","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",1204.51409536,51444.0454723,5.1444045472,1009062,52088,"LaTeX: pdfLaTeX",NA
"10","BQ1","Cuerpo Agua","Rio","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Riego consumo energia","*No Aplica*","Natural","",1,"No aplicable","No aplicable",37948.1093721,402830.152717,40.2830152717,66880,66880,"RestoreWorkspace: Default",NA
